Instructor,Type,Course,Program,Semester,Total Classes,Classes by Self
,,परिभाषेन्दुशेखरे 1-50 परिभाषाः [SK-255] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,लघुशब्देन्दुशेखरे आदितः न पदान्तद्विरिति सूत्रं यावत् [SK-265] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,परिभाषेन्दुशेखरे 51-133 परिभाषाः [SK-257] [CORE],Integrated 5 Year MA in Sanskrit(M),8,32,32
,,लघुशब्देन्दुशेखरे कारकम् [SK-267] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,लघुशब्देन्दुशेखरे स्त्रीप्रत्ययाव्ययीभावप्रकरणे [SK-268] [CORE],Integrated 5 Year MA in Sanskrit(M),10,32,32
,,लघुशब्देन्दुशेखरे कारकम् [SK-267] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
,,लघुशब्देन्दुशेखरे स्त्रीप्रत्ययाव्ययीभावप्रकरणे [SK-268] [CORE],Integrated 5 Year MA in Sanskrit(W),10,36,36
A35,Faculty,Discrete Mathematics [M 213] [ELECT],MSc in Mathematics,3,0,0
,,Algebraic Number Theory [M 306] [ELECT],MSc in Mathematics,4,14,14
,,Analytic Number Theory [M 307] [ELECT],MSc in Mathematics,4,16,0
,,Discrete Mathematics [M 213] [ELECT],PhD in Mathematics,2,0,0
,,Set Theory and Methodology of Mathematics [M 215] [CORE],MSc in Mathematics,1,0,0
A36,Faculty,वेदपाठः [SK-502] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,वेदपाठः [SK-502] [CORE],Integrated 5 Year MA in Sanskrit(M),4,0,0
,,Data Structures and Algorithms [CS110] [ELECT],MSc in Big Data Analytics,1,0,0
,,Programming for Data Science-2 [DA107] [CORE],MSc in Big Data Analytics,2,12,12
,,Concepts of Programming Languages [CS123] [CORE],MSc in Computer Science,1,0,0
,,Distributed Systems [CS248] [ELECT],MSc in Computer Science,2,7,7
,,Quantum Computing [CS239] [ELECT],MSc in Computer Science,3,0,0
,,Algorithms for Data Science [CS218b] [ELECT],MSc in Computer Science,3,0,0
A37,Faculty,Optimization for Machine Learning [CS247] [CORE],MSc in Big Data Analytics,1,0,0
,,Optimization for Machine Learning [CS247] [ELECT],MSc in Computer Science,1,0,0
,,Foundations of Statistical Learning [CS112] [CORE],MSc in Computer Science,1,0,0
,,Foundation of Yoga [MSY CT 102] [CORE],MA / MSc in Yoga,1,0,0
,,Science of Pranayama [MSY CP 207] [CORE],MA / MSc in Yoga,2,17,12
,,Applied Yoga [MSY CT 204] [CORE],MA / MSc in Yoga,2,9,0
A38,Faculty,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,वेदपाठः [SK-501] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,वेतालपञ्चविंशत्यादिभ्यः चिताः अंशाः [SK-412] [CORE],Integrated 5 Year MA in Sanskrit(M),2,12,0
,,वेदपाठः [SK-501] [CORE],Integrated 5 Year MA in Sanskrit(M),2,6,6
,,संस्कृतसाहित्येतिहासः + SWAYAM (2+2 Cr) [SK-431] [CORE],Integrated 5 Year MA in Sanskrit(M),4,0,0
,,कठोपनिषत् शांकरभाष्यसमेता [SK-101] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,वेदपाठः [SK-503] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,वेदपाठः [SK-503] [CORE],Integrated 5 Year MA in Sanskrit(M),6,6,6
,,सांख्यकारिका (1-30 कारिकाः) (30) [SK-331 A] [CORE],Integrated 5 Year MA in Sanskrit(M),6,11,11
,,योगसूत्रे समाधिपादः व्य़ासभाष्यसहितः (20) [SK-331 B] [CORE],Integrated 5 Year MA in Sanskrit(M),6,11,11
